filePath;Package Name;Class Name;TLOC;TASSERT;TCM;Seuil dépassé?
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\TimeSeriesChartTest.java;org.jfree.chart;TimeSeriesChartTest;150;5;30,00;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\urls\CustomPieURLGeneratorTest.java;org.jfree.chart.urls;CustomPieURLGeneratorTest;102;9;11,33;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\urls\StandardXYURLGeneratorTest.java;org.jfree.chart.urls;StandardXYURLGeneratorTest;64;4;16,00;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\WaterfallChartTest.java;org.jfree.chart;WaterfallChartTest;124;3;41,33;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\XYAreaChartTest.java;org.jfree.chart;XYAreaChartTest;149;5;29,80;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\XYBarChartTest.java;org.jfree.chart;XYBarChartTest;153;5;30,60;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\XYLineChartTest.java;org.jfree.chart;XYLineChartTest;150;5;30,00;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\XYStepAreaChartTest.java;org.jfree.chart;XYStepAreaChartTest;149;5;29,80;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\chart\XYStepChartTest.java;org.jfree.chart;XYStepChartTest;159;5;31,80;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\data\function\NormalDistributionFunction2DTest.java;org.jfree.data.function;NormalDistributionFunction2DTest;93;9;10,33;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\data\function\PolynomialFunction2DTest.java;org.jfree.data.function;PolynomialFunction2DTest;120;10;12,00;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\data\function\PowerFunction2DTest.java;org.jfree.data.function;PowerFunction2DTest;86;7;12,29;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\data\general\DefaultKeyedValues2DDatasetTest.java;org.jfree.data.general;DefaultKeyedValues2DDatasetTest;74;4;18,50;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\data\general\DefaultKeyedValuesDatasetTest.java;org.jfree.data.general;DefaultKeyedValuesDatasetTest;73;4;18,25;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\data\statistics\BoxAndWhiskerItemTest.java;org.jfree.data.statistics;BoxAndWhiskerItemTest;68;5;13,60;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\data\statistics\HistogramBinTest.java;org.jfree.data.statistics;HistogramBinTest;80;5;16,00;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\data\statistics\RegressionTest.java;org.jfree.data.statistics;RegressionTest;213;17;12,53;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\data\time\FixedMillisecondTest.java;org.jfree.data.time;FixedMillisecondTest;87;8;10,88;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\data\time\TimePeriodAnchorTest.java;org.jfree.data.time;TimePeriodAnchorTest;62;4;15,50;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\data\time\TimeSeriesDataItemTest.java;org.jfree.data.time;TimeSeriesDataItemTest;85;6;14,17;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\data\xy\MatrixSeriesCollectionTest.java;org.jfree.data.xy;MatrixSeriesCollectionTest;102;10;10,20;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\data\xy\OHLCDataItemTest.java;org.jfree.data.xy;OHLCDataItemTest;74;7;10,57;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\data\xy\XYBarDatasetTest.java;org.jfree.data.xy;XYBarDatasetTest;117;9;13,00;true
C:\Users\Simo\eclipse-workspace\3913TP1\src\main\java\com\TP1\etude-jfreechart\jfreechart-master\src\test\java\org\jfree\data\xy\YIntervalSeriesCollectionTest.java;org.jfree.data.xy;YIntervalSeriesCollectionTest;147;14;10,50;true
